TradeName,ScientificName,Matched_Kaggle_Name,Match_Score,Chemical Class,Therapeutic Class,sideEffect,substitute,use,Scientific_clean,Matched_clean,fuzzy_token,Confidence
OMACILLIN 500MG CAPSULES,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
OSPAMOX 125MG-5ML SUSP,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
OSPAMOX 250MG CAPS,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
OSPAMOX 250MG-5ML SUSP.,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
OSPAMOX 500MG TAB,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
OSPAMOX 500MG-5ML POWDER FOR ORAL SUSP.,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
PENAMOX 125MG-5ML SUSP.,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
PENAMOX 250MG-5ML SUSP.,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
PENAMOX CAPS 250MG,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
PENAMOX CAPS 500 MG,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
REMOX 125MG-5ML SUSPENSION,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
REMOX 250 MG CAPSULES,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
REMOX 250MG -5ML SUSPENSION,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
REMOX 500 MG CAPSULES,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
Remox,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
ULTRAMOX 125MG-5ML ORAL SUSP,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
ULTRAMOX CAPS 250MG,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
ULTRAMOX FORTE 250MG-5ML SUSP.,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
ULTRAMOX FORTE CAPS 500MG,AMOXICILLIN,amoxycillin 125mg syrup,4.239352226257324,Aminopenicillins {Penicillins},ANTI INFECTIVES,Allergy ; Rash ; Vomiting ; Allergic reaction ; Nausea ; Diarrhea,Ranoxyl 125mg Syrup ; Nodimox 125mg Syrup ; Biomoxil 125mg Syrup ; Alkamox 125mg Syrup ; Swimox 125mg Syrup,Treatment of Peptic ulcer disease ; Treatment of Bacterial infections,amoxicillin,amoxycillin 125mg syrup,58.82352941176471,Medium
MEGAMOX,"AMOXICILLIN TRIHYDRATE,CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,4.396657466888428,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin trihydrate,clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,53.191489361702125,Medium
Klavox ES-600,"AMOXICILLIN TRIHYDRATE,Potassium Clavulanate",genericart amoxycillin+potassium clavulanate 250mg/125mg tablet,5.672945022583008,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Moxiforce-CV 375 Tablet ; Moxikind-CV 375 Tablet ; Flemiclav 375 Tablet ; Erox CV 250mg/125mg Tablet ; Mega-CV 375 Tablet,Treatment of Bacterial infections,"amoxicillin trihydrate,potassium clavulanate",genericart amoxycillin+potassium clavulanate 250mg/125mg tablet,54.20560747663552,Medium
AMOCLAN 1 GM TAB,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AMOCLAN 156MG-5ML SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AMOCLAN 228MG\5ML SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AMOCLAN 375 MG TAB.,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AMOCLAN 457MG\5ML SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AMOCLAN 600MG VIAL,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AMOCLAN FORTE 312MG-5ML SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AMOCLAN FORTE 625MG TAB,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN (ES) SUSPENSION,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN 1 G TAB,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN 1.2GM VIAL,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN 156 Mg-5 ML SYRUP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN 228 MG-5ML SYRUP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN 312MG-5ML SYRUP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN 457MG-5ML SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN 600MG VIAL,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN 625MG TAB,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN INFANT DROP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN SR TABLET,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMENTIN TAB 375 MG,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMOKS 375MG F.C. TABLETS,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
AUGMOKS 625MG F.C. TABLETS,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
CLAMOXE 312MG-5ML POWDER FOR ORAL SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
CLAMOXE 625MG F.C. TABLETS,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
CLAVODAR 625MG F.C. TABLETS,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
CO AMOX - MEPHA 156.25MG-5ML ORAL SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
CO AMOX - MEPHA 312.5MG-5ML ORAL SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
CO AMOX - MEPHA 457MG-5ML ORAL SUSP,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
CURAM 2.2GM POW. FOR SOLN. FOR INJECTION- INFUSION,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
MEDACLAV 375MG F.C. TABLETS,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
MEDACLAV 625MG F.C. TABLETS,"AMOXICILLIN, CLAVULANIC ACID",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,6.079830169677734,,ANTI INFECTIVES,Vomiting ; Nausea ; Diarrhea,Penciclav 500 mg/125 mg Tablet ; Moxikind-CV 625 Tablet ; Moxiforce-CV 625 Tablet ; Fightox 625 Tablet ; Novamox CV 625mg Tablet,Treatment of Bacterial infections,"amoxicillin, clavulanic acid",davaindia amoxycillin+clavulanic acid 500mg/125mg tablet,59.523809523809526,Medium
